espn_order,player_name,source_player_name,in_current_checkpoint,source_name,source_updated_date,source_url,notes
83,Tucker Kraft,Tucker Kraft,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
84,Houston Texans,Texans D/ST,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,Canonicalized source display name for exact join to the current project player naming.
85,Tony Pollard,Tony Pollard,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
86,Caleb Williams,Caleb Williams,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
87,Travis Kelce,Travis Kelce,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
88,Rico Dowdle,Rico Dowdle,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
89,Trevor Lawrence,Trevor Lawrence,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
90,Denver Broncos,Broncos D/ST,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,Canonicalized source display name for exact join to the current project player naming.
91,Bo Nix,Bo Nix,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
92,Michael Wilson,Michael Wilson,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
93,Dallas Goedert,Dallas Goedert,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
94,Kenny Gainwell,Kenny Gainwell,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
95,Los Angeles Rams,Rams D/ST,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,Canonicalized source display name for exact join to the current project player naming.
96,Stefon Diggs,Stefon Diggs,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
97,Jonathon Brooks,Jonathon Brooks,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
98,Patrick Mahomes II,Patrick Mahomes,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,Canonicalized source display name for exact join to the current project player naming.
99,Alec Pierce,Alec Pierce,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
100,Jake Ferguson,Jake Ferguson,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
101,Chuba Hubbard,Chuba Hubbard,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
102,Brock Purdy,Brock Purdy,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
103,Matthew Golden,Matthew Golden,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
104,Seattle Seahawks,Seahawks D/ST,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,Canonicalized source display name for exact join to the current project player naming.
105,Cameron Dicker,Cameron Dicker,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
106,Brian Thomas Jr.,Brian Thomas Jr.,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
107,J.K. Dobbins,J.K. Dobbins,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
108,Wan'Dale Robinson,Wan'Dale Robinson,true,Hashtag Football - ESPN ADP Data,2026-08-31,https://hashtagfootball.com/fantasy-football-adp-espn,
